FILENAME: ./data/data_7_abi.txt
PATTERN: wine
Running OBST using Dynamic Programming....
0) D:  | f(D): 0 | l(D): 0
386) D: organization | f(D): 2 | l(D): 12
387) D: other | f(D): 9 | l(D): 5
388) D: out | f(D): 3 | l(D): 3
389) D: outcomes | f(D): 16 | l(D): 8
390) D: outlines | f(D): 2 | l(D): 8
391) D: outside | f(D): 2 | l(D): 7
392) D: parking | f(D): 1 | l(D): 7
393) D: part | f(D): 1 | l(D): 4
394) D: penalties | f(D): 2 | l(D): 9
395) D: permission | f(D): 1 | l(D): 10
396) D: personal | f(D): 15 | l(D): 8
397) D: pertaining | f(D): 1 | l(D): 10
398) D: petitions | f(D): 1 | l(D): 9
399) D: philosophy | f(D): 1 | l(D): 10
400) D: plan | f(D): 1 | l(D): 4
401) D: planning | f(D): 2 | l(D): 8
402) D: please | f(D): 2 | l(D): 6
403) D: points | f(D): 1 | l(D): 6
404) D: policy | f(D): 4 | l(D): 6
405) D: political | f(D): 1 | l(D): 9
406) D: polytechnic | f(D): 1 | l(D): 11
407) D: post | f(D): 5 | l(D): 4
408) D: postal | f(D): 1 | l(D): 6
409) D: posted | f(D): 2 | l(D): 6
410) D: prerequisites | f(D): 2 | l(D): 13
411) D: principles | f(D): 1 | l(D): 10
412) D: print | f(D): 1 | l(D): 5
413) D: prior | f(D): 2 | l(D): 5
414) D: privacy | f(D): 3 | l(D): 7
415) D: privileges | f(D): 2 | l(D): 10
416) D: probationary | f(D): 1 | l(D): 12
417) D: problem | f(D): 2 | l(D): 7
418) D: procedures | f(D): 6 | l(D): 10
419) D: process | f(D): 3 | l(D): 7
420) D: professional | f(D): 2 | l(D): 12
421) D: proficiency | f(D): 1 | l(D): 11
422) D: proficient | f(D): 1 | l(D): 10
423) D: program | f(D): 7 | l(D): 7
424) D: programs | f(D): 13 | l(D): 8
425) D: protect | f(D): 1 | l(D): 7
426) D: provide | f(D): 2 | l(D): 7
427) D: province | f(D): 1 | l(D): 8
428) D: provision | f(D): 1 | l(D): 9
429) D: public | f(D): 2 | l(D): 6
430) D: publications | f(D): 3 | l(D): 12
431) D: published | f(D): 2 | l(D): 9
432) D: purposes | f(D): 2 | l(D): 8
433) D: quality | f(D): 2 | l(D): 7
434) D: quantitative | f(D): 1 | l(D): 12
435) D: questions | f(D): 1 | l(D): 9
436) D: reading | f(D): 2 | l(D): 7
437) D: readmission | f(D): 2 | l(D): 11
438) D: reasonable | f(D): 1 | l(D): 10
439) D: reasoning | f(D): 2 | l(D): 9
440) D: reassessment | f(D): 1 | l(D): 12
441) D: recommendations | f(D): 1 | l(D): 15
442) D: record | f(D): 3 | l(D): 6
443) D: refer | f(D): 1 | l(D): 5
444) D: refunds | f(D): 2 | l(D): 7
445) D: refuse | f(D): 1 | l(D): 6
446) D: registrar | f(D): 1 | l(D): 9
447) D: registrarial | f(D): 1 | l(D): 12
448) D: registration | f(D): 1 | l(D): 12
449) D: regular | f(D): 4 | l(D): 7
450) D: regulations | f(D): 4 | l(D): 11
